	Drug ID	Gene
185	DB00145	Q6IB77
186	DB00148	P17540
187	DB00148	Q14353
188	DB00149	O60294
189	DB00149	Q8TF71
190	DB00150	P00953
191	DB00151	P17174
192	DB00152	O15245
193	DB00152	O15244
194	DB00153	Q9NY47
195	DB00153	Q7Z3S7
196	DB00153	Q9BXT2
197	DB00153	P02774
198	DB00153	O43497
199	DB00153	P62955
200	DB00153	Q06432
201	DB00154	O15540
202	DB00155	P00480
203	DB00155	Q9ULC6
204	DB00155	Q4U2R8
205	DB00155	Q9ULW8
206	DB00157	P56556
207	DB00157	P00374
208	DB00157	Q00796
209	DB00157	O95299
210	DB00157	O75489
211	DB00157	P49419
212	DB00157	Q9UI09
213	DB00157	P30519
214	DB00157	Q02218
215	DB00157	P11177
216	DB00157	P05093
217	DB00157	P08319
218	DB00157	O43181
219	DB00157	Q6ZMR3
220	DB00157	Q13630
221	DB00157	P49448
222	DB00157	P53004
223	DB00157	P09601
224	DB00157	P30837
225	DB00157	O43175
226	DB00157	Q99714
227	DB00157	P16219
228	DB00157	P47895
229	DB00157	P30043
230	DB00157	P56937
231	DB00157	P09417
232	DB00157	Q9Y6M9
233	DB00157	Q92506
234	DB00157	Q9P0J0
235	DB00157	O95168
236	DB00157	O00483
237	DB00157	P42330
238	DB00158	Q96NT5
239	DB00158	P41439
240	DB00159	Q03181
241	DB00159	Q07869
242	DB00159	P23219
243	DB00160	Q8TD30
244	DB00160	Q9BYV1
245	DB00160	Q9UHI5
246	DB00160	P49588
247	DB00161	P05166
248	DB00162	O95237
249	DB00162	Q96NR8
250	DB00162	P02753
251	DB00162	P02768
252	DB00163	Q9UHC9
253	DB00163	O75469
254	DB00163	O95477
255	DB00167	Q9NSE4
256	DB00168	Q8TE23
257	DB00168	Q9NSA0
258	DB00170	P08684
259	DB00170	Q16678
260	DB00170	P10632
261	DB00170	P10635
262	DB00170	Q9BQB6
263	DB00170	P24462
264	DB00171	P37023
265	DB00171	Q13131
266	DB00171	Q13564
267	DB00171	P12235
268	DB00171	P00519
269	DB00171	P68400
270	DB00171	Q9Y4W6
271	DB00171	Q96G91
272	DB00171	P42684
273	DB00172	O15460
274	DB00172	Q9UN76
275	DB00172	Q8TF71
276	DB00172	P23284
277	DB00173	O00763
278	DB00174	Q96I59
279	DB00174	Q8TF71
280	DB00175	Q9NPD5
281	DB00175	Q9NSA0
282	DB00175	Q8TCC7
283	DB00175	Q9UNQ0
284	DB00176	P05177
285	DB00177	Q9NPD5
286	DB00178	P12821
287	DB00182	P08913
288	DB00182	Q99870
289	DB00182	P31645
290	DB00182	P07550
291	DB00184	Q15825
292	DB00184	O15244
293	DB00184	P11511
294	DB00185	P20309
295	DB00186	P78334
296	DB00186	O14764
297	DB00186	P14867
298	DB00186	P47870
299	DB00188	P20618
300	DB00189	P47869
301	DB00189	P34903
302	DB00189	P14867
303	DB00191	P01303
304	DB00191	P27338
305	DB00193	P25103
306	DB00193	P18825
307	DB00193	Q14957
308	DB00193	P11229
309	DB00193	P23975
310	DB00194	P09250
311	DB00196	P10613
312	DB00197	Q07869
313	DB00197	P37231
314	DB00197	P11511
315	DB00197	P16662
316	DB00197	P20815
317	DB00197	P11712
318	DB00197	P11474
319	DB00197	P09211
320	DB00198	P46059
321	DB00198	Q99519
322	DB00199	Q12809
323	DB00200	P20061
324	DB00201	Q9NP56
325	DB00201	Q9HCR9
326	DB00201	P21817
327	DB00201	Q9Y233
328	DB00202	Q05901
329	DB00202	Q9GZZ6
330	DB00202	P32297
331	DB00203	Q9Y6L6
332	DB00205	P13922
333	DB00206	Q92887
334	DB00206	P20815
335	DB00206	Q05940
336	DB00207	Q92887
337	DB00207	Q9UM07
338	DB00210	P17174
339	DB00211	P35348
340	DB00212	P00797
341	DB00213	O94760
342	DB00215	P31645
343	DB00216	P30939
344	DB00217	P18089
345	DB00217	P08913
346	DB00218	P43702
347	DB00220	P33261
348	DB00220	O94956
349	DB00221	P08588
350	DB00222	O95342
351	DB00223	P04150
352	DB00224	P08183
353	DB00224	O95342
354	DB00227	O95342
355	DB00227	Q92887
356	DB00227	P46721
357	DB00228	O00555
358	DB00228	Q9NY47
359	DB00228	Q9ULD8
360	DB00228	Q9Y698
361	DB00228	Q9BXT2
362	DB00228	O95259
363	DB00228	Q9UJ90
364	DB00228	Q16445
365	DB00228	Q96PR1
366	DB00228	Q92953
367	DB00228	P05181
368	DB00228	P28472
369	DB00228	Q8TAE7
370	DB00228	Q13303
371	DB00228	P54289
372	DB00228	P47870
373	DB00228	P15382
374	DB00228	Q9NZV8
375	DB00228	Q8TDN1
376	DB00228	Q9UF02
377	DB00228	Q9NSA2
378	DB00229	Q4U2R8
379	DB00231	P18507
380	DB00231	P47870
381	DB00231	P28472
382	DB00232	Q13621
383	DB00234	P08684
384	DB00234	P23975
385	DB00237	P36544
386	DB00237	P47869
387	DB00237	Q99928
388	DB00237	P42261
389	DB00237	P11166
390	DB00237	P34903
391	DB00237	Q13003
392	DB00237	Q8N1C3
393	DB00237	O14764
394	DB00239	P08684
395	DB00240	P08684
396	DB00241	Q9UN88
397	DB00241	P28472
398	DB00241	O14764
399	DB00241	Q99928
400	DB00241	Q8N1C3
401	DB00242	P56282
402	DB00242	Q9NR33
403	DB00242	Q9HAS3
404	DB00243	Q9UNX9
405	DB00243	O00305
406	DB00243	Q8IWT1
407	DB00243	Q07699
408	DB00243	Q9NY46
409	DB00243	Q15858
410	DB00244	O14920
411	DB00244	P18440
412	DB00245	P02768
413	DB00246	Q8WXA8
414	DB00246	P08912
415	DB00246	P02763
416	DB00246	O95264
417	DB00246	P35348
418	DB00246	P18089
419	DB00246	P14416
420	DB00246	P08908
421	DB00247	P28223
422	DB00247	P08908
423	DB00248	P08183
424	DB00248	P28221
425	DB00248	P35348
426	DB00250	P11712
427	DB00250	P05181
428	DB00250	P0C0X1
429	DB00252	P31644
430	DB00252	P08183
431	DB00252	P18507
432	DB00252	P18505
433	DB00252	Q9NY46
434	DB00252	Q9UN88
435	DB00252	O14764
436	DB00255	P11474
437	DB00255	O95342
438	DB00255	P04278
439	DB00255	O75469
440	DB00257	P11509
441	DB00264	P02768
442	DB00264	P07550
443	DB00266	Q9BQB6
444	DB00266	Q08257
445	DB00268	P21917
446	DB00268	P18825
447	DB00269	P11511
448	DB00273	P00915
449	DB00273	Q13936
450	DB00273	P00918
451	DB00273	Q13698
452	DB00273	Q9NY46
453	DB00273	P35499
454	DB00273	Q01118
455	DB00273	P02768
456	DB00273	Q08289
457	DB00274	P02919
458	DB00274	C1KC03
459	DB00275	P30556
460	DB00277	Q92769
461	DB00278	P02763
462	DB00279	P10827
463	DB00279	P08183
464	DB00279	P05543
465	DB00279	P10828
466	DB00280	P19652
467	DB00280	O15245
468	DB00281	P19652
469	DB00281	Q9Y5Y9
470	DB00284	O43451
471	DB00285	Q9UNQ0
472	DB00285	Q01959
473	DB00286	P08183
474	DB00286	O15438
475	DB00286	O15439
476	DB00286	Q9NYB5
477	DB00286	Q96J66
478	DB00286	Q14973
479	DB00287	P43088
480	DB00289	P12314
481	DB00289	Q05586
482	DB00290	P18858
483	DB00291	P46721
484	DB00292	P15538
485	DB00292	Q8N1C3
486	DB00292	O00591
487	DB00292	Q99928
488	DB00294	P02768
489	DB00295	P41145
490	DB00297	P34995
491	DB00298	P35368
492	DB00299	P04293
493	DB00300	P08183
494	DB00301	P08684
495	DB00302	P00747
496	DB00303	P02918
497	DB00303	P0AD65
498	DB00304	P03372
499	DB00305	P16435
500	DB00306	P42262
501	DB00306	P14867
502	DB00307	P08684
503	DB00308	Q12809
504	DB00310	Q13621
505	DB00311	P22748
506	DB00312	Q8TCU5
507	DB00312	P33261
508	DB00312	Q8N1C3
509	DB00312	P36544
510	DB00313	Q8TCC7
511	DB00313	Q9UI33
512	DB00313	P02768
513	DB00313	Q9NY72
514	DB00313	Q9NY46
515	DB00313	O60939
516	DB00315	P28222
517	DB00315	P28566
518	DB00315	P08183
519	DB00317	Q9UNQ0
520	DB00319	Q8DNB6
521	DB00320	P08908
522	DB00320	P28223
523	DB00320	P35368
524	DB00320	P35462
525	DB00320	P28222
526	DB00321	P08909
527	DB00321	P08684
528	DB00321	Q9H252
529	DB00321	P35372
530	DB00321	P05177
531	DB00321	P08908
532	DB00321	P02763
533	DB00321	P41145
534	DB00321	P25100
535	DB00327	P41145
536	DB00328	P37231
537	DB00328	Q92887
538	DB00328	Q4U2R8
539	DB00328	P33527
540	DB00328	O15439
541	DB00328	Q9Y6L6
542	DB00330	P9WNL7
543	DB00331	O75751
544	DB00331	O15244
545	DB00331	O15245
546	DB00332	P02768
547	DB00332	P08172
548	DB00332	P11229
549	DB00333	Q14957
550	DB00333	P43681
551	DB00333	P17787
552	DB00334	P18507
553	DB00334	P21917
554	DB00334	P50406
555	DB00334	P34903
556	DB00334	P35462
557	DB00334	P08908
558	DB00334	P07550
559	DB00334	P31644
560	DB00336	P06715
561	DB00338	P35869
562	DB00338	P20648
563	DB00339	Q06278
564	DB00340	P11229
565	DB00341	P35367
566	DB00342	P08912
567	DB00342	P20309
568	DB00342	P08183
569	DB00343	Q06432
570	DB00343	P02763
571	DB00344	P08183
572	DB00345	P53985
573	DB00345	P33527
574	DB00345	O76082
575	DB00346	P35368
576	DB00347	P10632
577	DB00349	P14867
578	DB00349	P08684
579	DB00349	P34903
580	DB00349	Q8N1C3
581	DB00350	P48048
582	DB00350	P23219
583	DB00352	O15439
584	DB00353	P08684
585	DB00356	P05181
586	DB00357	P08684
587	DB00357	P33261
588	DB00359	Q27738
589	DB00360	P29474
590	DB00363	P35462
591	DB00363	P08173
592	DB00363	P46098
593	DB00363	P20309
594	DB00363	P08172
595	DB00363	P08912
596	DB00363	P35348
597	DB00365	Q92887
598	DB00366	P08173
599	DB00366	P11229
600	DB00367	P04278
601	DB00367	P10275
602	DB00368	P54219
603	DB00368	P18089
604	DB00370	P28335
605	DB00370	P35348
606	DB00370	P28223
607	DB00371	P31644
608	DB00371	P47869
609	DB00371	P34903
610	DB00373	P07550
611	DB00373	P00720
612	DB00376	P08173
613	DB00376	P11229
614	DB00380	Q02880
615	DB00381	Q13936
616	DB00381	Q8IZS8
617	DB00382	P06276
618	DB00384	P51168
619	DB00388	P35348
620	DB00389	P07202
621	DB00390	P05023
622	DB00391	O15245
623	DB00391	O15244
624	DB00392	P08172
625	DB00393	Q13936
626	DB00394	Q9NPD5
627	DB00395	P31644
628	DB00396	P06401
629	DB00396	P04278
630	DB00396	Q9Y6L6
631	DB00396	P08235
632	DB00397	P21728
633	DB00398	P35916
634	DB00398	P09619
635	DB00398	P04049
636	DB00398	P36888
637	DB00398	P15056
638	DB00398	O15439
639	DB00398	P10721
640	DB00400	Q99456
641	DB00401	Q13936
642	DB00401	Q08289
643	DB00402	P05181
644	DB00402	Q99928
645	DB00402	O14764
646	DB00403	P32238
647	DB00404	P18505
648	DB00404	P47869
649	DB00404	Q99928
650	DB00407	P01008
651	DB00408	P08912
652	DB00408	P14416
653	DB00408	P25021
654	DB00408	P35348
655	DB00408	P23975
656	DB00408	P08172
657	DB00408	P11229
658	DB00408	P34969
659	DB00408	Q01959
660	DB00412	P19793
661	DB00412	Q9Y6L6
662	DB00412	P48443
663	DB00413	P08913
664	DB00413	P14416
665	DB00415	Q7CRA4
666	DB00415	O76082
667	DB00417	Q53707
668	DB00418	P48169
669	DB00418	Q13002
670	DB00418	Q05586
671	DB00418	O60391
672	DB00419	Q16739
673	DB00421	Q7Z3S7
674	DB00421	P10275
675	DB00421	Q01668
676	DB00421	O00305
677	DB00421	P04278
678	DB00421	O60359
679	DB00421	Q9UF02
680	DB00421	P46721
681	DB00422	Q6LAP9
682	DB00424	P11229
683	DB00425	P14867
684	DB00425	P18507
685	DB00427	P35367
686	DB00429	P34995
687	DB00430	P08506
688	DB00430	P0AD68
689	DB00431	P24046
690	DB00433	P35368
691	DB00434	P34969
692	DB00436	P55017
693	DB00437	Q9Y694
694	DB00438	P0AD68
695	DB00439	Q9UNQ0
696	DB00439	P08183
697	DB00441	Q9HAS3
698	DB00443	Q16678
699	DB00443	P20813
700	DB00443	P11509
701	DB00443	P08183
702	DB00444	Q9UNQ0
703	DB00445	P47712
704	DB00446	P08174
705	DB00447	Q8XJ01
706	DB00448	P08183
707	DB00448	P20648
708	DB00450	P35348
709	DB00451	Q9Y6L6
710	DB00451	P02766
711	DB00451	P08183
712	DB00454	Q05586
713	DB00454	P05177
714	DB00454	Q01959
715	DB00456	Q4U2R8
716	DB00456	Q8DR59
717	DB00457	P18089
718	DB00457	Q9UNQ0
719	DB00458	Q9NZV8
720	DB00458	Q12809
721	DB00458	P08908
722	DB00458	O75751
723	DB00458	P28223
724	DB00458	P35367
725	DB00459	P28702
726	DB00459	P09455
727	DB00462	P20309
728	DB00463	P78334
729	DB00463	Q13002
730	DB00463	P43681
731	DB00466	P15104
732	DB00467	P05177
733	DB00468	P14770
734	DB00468	Q9Y6L6
735	DB00469	Q8TCC7
736	DB00470	P21554
737	DB00470	P34972
738	DB00472	P02763
739	DB00473	Q9Y5Y9
740	DB00474	P14867
741	DB00475	O14764
742	DB00475	P48169
743	DB00475	P31644
744	DB00476	P02768
745	DB00476	P10635
746	DB00476	P08183
747	DB00476	P02763
748	DB00477	P18825
749	DB00477	Q9H3N8
750	DB00477	O95342
751	DB00477	P35348
752	DB00480	P35354
753	DB00481	Q9HAW9
754	DB00481	Q9UNQ0
755	DB00481	P50453
756	DB00481	O15439
757	DB00481	Q92887
758	DB00482	H3BUU9
759	DB00482	O95342
760	DB00482	O15439
761	DB00483	P08172
762	DB00484	Q06278
763	DB00485	P0A3M6
764	DB00485	Q8DR59
765	DB00486	P21554
766	DB00487	P11388
767	DB00489	P07550
768	DB00490	P25100
769	DB00490	P08183
770	DB00490	P14416
771	DB00491	O43451
772	DB00493	Q16348
773	DB00493	P42971
774	DB00495	P02768
775	DB00495	O15244
776	DB00495	Q9NSA0
777	DB00495	O15440
778	DB00496	P10635
779	DB00499	O75469
780	DB00499	P10275
781	DB00500	Q4U2R8
782	DB00501	Q9NSA0
783	DB00501	Q9H015
784	DB00501	O15244
785	DB00502	Q99720
786	DB00502	P14416
787	DB00502	Q99705
788	DB00502	P08913
789	DB00503	O95342
790	DB00503	Q72874
791	DB00503	P02768
792	DB00503	O75469
793	DB00504	P35372
794	DB00505	P20309
795	DB00507	P94692
796	DB00508	P11229
797	DB00509	P10827
798	DB00509	P07202
799	DB00514	P32297
800	DB00514	P15153
801	DB00514	Q15822
802	DB00514	P31645
803	DB00514	P41143
804	DB00515	P35354
805	DB00515	O95255
806	DB00515	P11712
807	DB00515	Q02928
808	DB00515	P01023
809	DB00515	P02768
810	DB00515	P02795
811	DB00518	P08183
812	DB00519	P46059
813	DB00521	P07550
814	DB00523	Q6V0L0
815	DB00523	P13631
816	DB00524	P55017
817	DB00526	O15431
818	DB00526	Q04656
819	DB00526	P02795
820	DB00526	P09211
821	DB00528	P24462
822	DB00529	P08546
823	DB00530	P02768
824	DB00532	O75469
825	DB00533	P35354
826	DB00534	Q13621
827	DB00536	P53608
828	DB00536	P00720
829	DB00536	Q96FL8
830	DB00536	O15245
831	DB00537	Q59192
832	DB00537	P0C1U9
833	DB00540	P08912
834	DB00540	P35368
835	DB00540	P08172
836	DB00540	P05177
837	DB00540	P08588
838	DB00540	P28223
839	DB00540	P14416
840	DB00540	P07550
841	DB00541	Q15311
842	DB00541	Q5T3U5
843	DB00542	Q16348
844	DB00543	P31644
845	DB00543	P21728
846	DB00543	P18825
847	DB00543	Q99928
848	DB00543	P78334
849	DB00543	P34969
850	DB00543	P28223
851	DB00543	P18507
852	DB00544	Q9Y694
853	DB00544	P04818
854	DB00544	O15439
855	DB00545	P22303
856	DB00546	P14867
857	DB00546	Q9UN88
858	DB00546	P78334
859	DB00547	P04150
860	DB00548	P66010
861	DB00549	Q9Y271
862	DB00550	P07202
863	DB00555	P02708
864	DB00555	Q9NY46
865	DB00555	O14764
866	DB00555	P47870
867	DB00555	Q9UQD0
868	DB00555	P46098
869	DB00555	Q9UN88
870	DB00557	P02768
871	DB00558	Q9Y3R4
872	DB00558	P06818
873	DB00559	P11712
874	DB00560	P0A7U3
875	DB00560	P0A7S9
876	DB00562	P07451
877	DB00562	P43166
878	DB00562	P22748
879	DB00562	P35218
880	DB00563	P46721
881	DB00563	P08183
882	DB00563	P53985
883	DB00563	Q9Y694
884	DB00564	P35498
885	DB00564	Q15311
886	DB00564	Q9UI33
887	DB00565	Q15822
888	DB00568	P08912
889	DB00568	P08173
890	DB00568	P35367
891	DB00568	P21918
892	DB00570	Q71U36
893	DB00570	P05412
894	DB00570	Q9UJT1
895	DB00571	P13945
896	DB00571	P02763
897	DB00572	P43681
898	DB00572	P20309
899	DB00572	P08173
900	DB00573	P23219
901	DB00574	Q99720
902	DB00574	P05177
903	DB00575	Q9H015
904	DB00576	P0AC13
905	DB00577	P04293
906	DB00578	Q4U2R8
907	DB00579	Q01959
908	DB00580	P07451
909	DB00582	P10613
910	DB00582	P20815
911	DB00583	P50416
912	DB00583	Q9UKG9
913	DB00583	P43155
914	DB00583	P47989
915	DB00583	Q8N8R3
916	DB00584	P02768
917	DB00584	P46059
918	DB00586	Q9NYB5
919	DB00586	P02768
920	DB00586	Q4U2R8
921	DB00588	P08235
922	DB00588	P20815
923	DB00588	P08185
924	DB00589	P21917
925	DB00589	P28222
926	DB00589	P18089
927	DB00590	P35348
928	DB00590	Q12809
929	DB00591	P08758
930	DB00591	P07355
931	DB00594	Q16515
932	DB00594	Q9H015
933	DB00594	P78348
934	DB00594	P51168
935	DB00595	P0A7V8
936	DB00598	P08588
937	DB00598	P02768
938	DB00599	P48169
939	DB00599	P43681
940	DB00599	P20309
941	DB00600	P14679
942	DB00601	Q8TCC7
943	DB00602	Q9UNQ0
944	DB00603	Q9UN88
945	DB00603	P78334
946	DB00603	O14764
947	DB00603	P31644
948	DB00603	O00591
949	DB00603	Q16445
950	DB00604	P08684
951	DB00605	Q03181
952	DB00606	P54710
953	DB00606	P00915
954	DB00606	P07451
955	DB00607	P05177
956	DB00607	Q8DNB6
957	DB00607	Q8DR59
958	DB00608	Q8MU52
959	DB00608	P10632
960	DB00608	P08183
961	DB00609	P9WGR1
962	DB00611	P41143
963	DB00612	P08588
964	DB00615	P08183
965	DB00615	P0A8T7
966	DB00616	P08473
967	DB00619	Q08345
968	DB00619	P08183
969	DB00619	P16234
970	DB00619	P02763
971	DB00620	P20815
972	DB00622	P54750
973	DB00622	P11229
974	DB00622	P54289
975	DB00622	Q01668
976	DB00622	P20309
977	DB00622	Q08289
978	DB00623	P0DP23
979	DB00624	P04278
980	DB00624	P03372
981	DB00625	Q72547
982	DB00625	O95342
983	DB00626	P42332
984	DB00627	Q8TDS4
985	DB00627	Q8N695
986	DB00628	O14764
987	DB00628	P78334
988	DB00629	P08913
989	DB00630	Q13332
990	DB00630	P38606
991	DB00631	P27707
992	DB00631	P09884
993	DB00633	P10635
994	DB00634	P0AC13
995	DB00635	P46721
996	DB00636	P09210
997	DB00636	Q07869
998	DB00637	O95259
999	DB00638	Q9F0I5
1000	DB00640	P29274
1001	DB00640	Q7RTT9
1002	DB00640	P30542
1003	DB00641	Q9NPD5
1004	DB00641	P04035
1005	DB00642	P00374
1006	DB00648	P05543
1007	DB00648	P04278
1008	DB00649	Q72547
1009	DB00651	P29274
1010	DB00651	Q08499
1011	DB00652	P08183
1012	DB00652	Q99720
1013	DB00653	Q01668
1014	DB00653	Q02641
1015	DB00654	P43088
1016	DB00655	P04278
1017	DB00655	P46721
1018	DB00656	P08684
1019	DB00656	P08913
1020	DB00656	P35367
1021	DB00657	P17787
1022	DB00659	Q8TCU5
1023	DB00659	Q9UBS5
1024	DB00659	Q12879
1025	DB00661	P33527
1026	DB00661	P02768
1027	DB00661	O15439
1028	DB00661	P25100
1029	DB00661	Q96FL8
1030	DB00668	O15244
1031	DB00668	P07550
1032	DB00668	P18089
1033	DB00669	P28222
1034	DB00669	Q9Y6L6
1035	DB00671	P46059
1036	DB00672	P10632
1037	DB00672	P46059
1038	DB00673	P25103
1039	DB00674	P22303
1040	DB00675	P03372
1041	DB00675	P02768
1042	DB00675	P17252
1043	DB00675	O95477
1044	DB00675	Q92887
1045	DB00675	Q02156
1046	DB00675	P41743
1047	DB00677	P06276
1048	DB00678	P02768
1049	DB00682	Q9BQB6
1050	DB00683	P16662
1051	DB00683	P48169
1052	DB00683	P06133
1053	DB00685	P11388
1054	DB00686	P09038
1055	DB00686	P05230
1056	DB00687	P08235
1057	DB00688	P20839
1058	DB00688	Q9NPD5
1059	DB00689	O76082
1060	DB00690	P18505
1061	DB00690	P47869
1062	DB00690	Q9UN88
1063	DB00691	P12821
1064	DB00692	P25100
1065	DB00693	O95342
1066	DB00694	P33527
1067	DB00694	O95255
1068	DB00694	P08183
1069	DB00695	Q9NSA0
1070	DB00695	Q13621
1071	DB00696	P08913
1072	DB00696	P21728
1073	DB00696	P30939
1074	DB00697	P35368
1075	DB00698	P0A7R5
1076	DB00698	Q92887
1077	DB00699	P10635
1078	DB00701	P08183
1079	DB00701	P33261
1080	DB00703	P00918
1081	DB00704	P41145
1082	DB00706	P08684
1083	DB00709	P02768
1084	DB00709	P08183
1085	DB00709	O15244
1086	DB00712	P35354
1087	DB00713	Q8DNB6
1088	DB00713	Q16348
1089	DB00714	P02768
1090	DB00714	P28222
1091	DB00714	P21964
1092	DB00715	P18825
1093	DB00715	P31645
1094	DB00715	P11229
1095	DB00715	P20815
1096	DB00715	O95264
1097	DB00715	P46098
1098	DB00715	P08913
1099	DB00715	P05177
1100	DB00715	P20309
1101	DB00715	P14416
1102	DB00716	P21462
1103	DB00716	Q9NS75
1104	DB00717	P08183
1105	DB00717	P02768
1106	DB00718	P24024
1107	DB00718	O75751
1108	DB00720	P35354
1109	DB00721	Q9NPA1
1110	DB00721	Q16558
1111	DB00721	Q9Y5Y9
1112	DB00721	P46098
1113	DB00721	Q01959
1114	DB00722	P12821
1115	DB00723	P35348
1116	DB00724	P08684
1117	DB00725	P08173
1118	DB00726	P10635
1119	DB00726	P11712
1120	DB00726	P20309
1121	DB00726	P33261
1122	DB00726	P28221
1123	DB00726	P13945
1124	DB00728	P08172
1125	DB00731	P02768
1126	DB00733	P22303
1127	DB00734	P28221
1128	DB00734	P28223
1129	DB00734	P18825
1130	DB00734	P28335
1131	DB00736	P08183
1132	DB00737	P35367
1133	DB00738	P20815
1134	DB00740	P04798
1135	DB00740	Q9UPY5
1136	DB00741	P04278
1137	DB00745	P08684
1138	DB00745	Q01959
1139	DB00747	P17787
1140	DB00747	P14410
1141	DB00747	P08912
1142	DB00749	P19793
1143	DB00749	P02768
1144	DB00750	Q14524
1145	DB00752	P05177
1146	DB00753	P34903
1147	DB00753	P28472
1148	DB00753	P18507
1149	DB00753	P30049
1150	DB00753	Q09470
1151	DB00753	P23415
1152	DB00753	Q9UN88
1153	DB00754	O75469
1154	DB00755	O43174
1155	DB00755	Q8NFJ5
1156	DB00755	P31025
1157	DB00755	P10276
1158	DB00755	O94788
1159	DB00756	P06149
1160	DB00757	P10635
1161	DB00759	Q8TCC7
1162	DB00759	P0AG59
1163	DB00759	P04156
1164	DB00759	P0A7V3
1165	DB00762	Q9Y6L6
1166	DB00762	P11387
1167	DB00764	P04150
1168	DB00767	P11229
1169	DB00768	P25021
